model	model_id	eval_name	eval_set	manifest	split	wer_percent	best_avg_logprob_wer_percent	mean_avg_logprob	references	hypotheses	missing_hypotheses	total_edits	total_words	decode_rows	eval_path
small	openai/whisper-small	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	83.89093939754733	83.89093939754733	-0.8633694581280789	812	812	0	7046	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_small.atc_validation
small	openai/whisper-small	atc_test	ATC test	egs/atc/data/test.jsonl	test	84.5593419506463	84.5593419506463	-0.8877921279212792	813	813	0	7196	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_small.atc_test
small	openai/whisper-small	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	69.43732885787475	69.43732885787475	-0.5606864807995792	1901	1901	0	15722	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_small.atcosim_test
medium	openai/whisper-medium	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	76.8424812477676	76.8424812477676	-0.7349470443349754	812	812	0	6454	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_medium.atc_validation
medium	openai/whisper-medium	atc_test	ATC test	egs/atc/data/test.jsonl	test	73.7602820211516	73.7602820211516	-0.7569594095940959	813	813	0	6277	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_medium.atc_test
medium	openai/whisper-medium	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	65.24600300326826	65.24600300326826	-0.4090094687006839	1901	1901	0	14773	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_medium.atcosim_test
large-v1	openai/whisper-large	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	79.6642457435409	79.6642457435409	-0.7350147783251232	812	812	0	6691	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v1.atc_validation
large-v1	openai/whisper-large	atc_test	ATC test	egs/atc/data/test.jsonl	test	74.6298472385429	74.6298472385429	-0.7285252152521526	813	813	0	6351	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v1.atc_test
large-v1	openai/whisper-large	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	65.9084886494126	65.9084886494126	-0.42063072067332985	1901	1901	0	14923	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v1.atcosim_test
large-v2	openai/whisper-large-v2	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	74.30646505536373	74.30646505536373	-0.6993177339901477	812	812	0	6241	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v2.atc_validation
large-v2	openai/whisper-large-v2	atc_test	ATC test	egs/atc/data/test.jsonl	test	72.56169212690952	72.56169212690952	-0.710388683886839	813	813	0	6175	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v2.atc_test
large-v2	openai/whisper-large-v2	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	64.1286105467715	64.1286105467715	-0.45901315097317197	1901	1901	0	14520	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v2.atcosim_test
large-v3	openai/whisper-large-v3	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	78.17597333015836	78.17597333015836	-0.5270172413793103	812	812	0	6566	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v3.atc_validation
large-v3	openai/whisper-large-v3	atc_test	ATC test	egs/atc/data/test.jsonl	test	73.96004700352526	73.96004700352526	-0.5297380073800738	813	813	0	6294	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v3.atc_test
large-v3	openai/whisper-large-v3	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	64.85734475753026	64.85734475753026	-0.3451162546028406	1901	1901	0	14685	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_large-v3.atcosim_test
turbo	openai/whisper-large-v3-turbo	atc_validation	ATC validation	egs/atc/data/validation.jsonl	validation	78.64031432313371	78.64031432313371	-0.6197967980295567	812	812	0	6605	8399	812	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_turbo.atc_validation
turbo	openai/whisper-large-v3-turbo	atc_test	ATC test	egs/atc/data/test.jsonl	test	76.01645123384255	76.01645123384255	-0.6186949569495696	813	813	0	6469	8510	813	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_turbo.atc_test
turbo	openai/whisper-large-v3-turbo	atcosim_test	ATCOSIM test	egs/atc/data/atcosim/test.jsonl	atcosim/test	65.24600300326826	65.24600300326826	-0.37573119410836403	1901	1901	0	14773	22642	1901	egs/atc/exp/20260617_atc_baselines_all_models_notimestamps_max96/baseline_turbo.atcosim_test
