series	run	learning_rate	wer_percent	best_avg_logprob_wer_percent	eval_name	path	eval_path
ATC 10% train -> ATC test	lr3e-6_b10_b20p9999_clip1_frz8	3e-06	30.317273795534668	30.317273795534668	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr3e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr3e-6_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr5e-6_b10_b20p9999_clip1_frz8	5e-06	21.316098707403057	21.316098707403057	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr5e-6_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr7e-6_b10_b20p9999_clip1_frz8	7e-06	17.779083431257344	17.779083431257344	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr7e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr7e-6_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr1e-5_b10_b20p9999_clip1_frz8	1e-05	17.614571092831962	17.614571092831962	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr1e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr1e-5_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr1p2e-5_b10_b20p9999_clip1_frz8	1.2e-05	17.156286721504113	17.156286721504113	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr1p2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr1p2e-5_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr1p5e-5_b10_b20p9999_clip1_frz8	1.5e-05	17.485311398354877	17.485311398354877	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr1p5e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr1p5e-5_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr2e-5_b10_b20p9999_clip1_frz8	2e-05	18.73090481786134	18.73090481786134	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr2e-5_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC test	lr3e-5_b10_b20p9999_clip1_frz8	3e-05	26.227967097532318	26.227967097532318	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr3e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_atc_test/lr3e-5_b10_b20p9999_clip1_frz8.atc_test
ATC 10% train -> ATC val	lr3e-6_b10_b20p9999_clip1_frz8	3e-06	29.884510060721514	29.884510060721514	atc_validation	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr3e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr3e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC 10% train -> ATC val	lr5e-6_b10_b20p9999_clip1_frz8	5e-06	21.443028932015718	21.443028932015718	atc_validation	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_subsample_10pct_lr8_validation/lr5e-6_b10_b20p9999_clip1_frz8.atc_validation
