series	train_series	trainable_params	width	encoder_depth	decoder_depth	eval_name	eval_set	run	learning_rate	wer_percent	mean_avg_logprob	decoded_rows	eval_path	results_path
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr2e-6_b10_b20p9999	2e-06	45.969447708578144	-0.514970479704797	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr2e-6_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr3e-6_b10_b20p9999	3e-06	25.017626321974145	-0.34958056580565805	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr3e-6_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr4e-6_b10_b20p9999	4e-06	14.547591069330199	-0.21195079950799509	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr4e-6_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr5e-6_b10_b20p9999	5e-06	11.809635722679202	-0.1589840098400984	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr5e-6_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr7e-6_b10_b20p9999	7e-06	8.413631022326674	-0.052354243542435425	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr7e-6_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr1e-5_b10_b20p9999	1e-05	7.508813160987074	-0.04012054120541206	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr1e-5_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr1p2e-5_b10_b20p9999	1.2e-05	7.908343125734429	-0.04397539975399754	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr1p2e-5_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr1p5e-5_b10_b20p9999	1.5e-05	8.09635722679201	-0.03600738007380074	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr1p5e-5_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr2e-5_b10_b20p9999	2e-05	7.7555816686251475	-0.03693726937269373	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr2e-5_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
large-v1	large-v1	1543304960	1280	32	32	atc_test	ATC test	lr3e-5_b10_b20p9999	3e-05	8.754406580493537	-0.04007380073800738	813	/home/vol/src/plu/egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/lr3e-5_b10_b20p9999.atc_test	egs/atc/exp/20260616_181815_atc_whisper_large_v1_lr13_atc_test/results_atc_test.jsonl
